run,started,mode,goal,result,time_s,path_m,efficiency,collisions,stuck_episodes,stuck_time_s,astar_fails,aggressive_on,reloc_jumps,pct_dwa,pct_door,pct_brk,pct_seek,pct_recovery,pct_stop,spd_mean,c0_mean,c0_min,c0_hard_mean,c0_hard_min,near_wall_ticks,obs_mean,obs_max,obs_per_m2,n_hard_mean,colmap_cells,perc_n_mean,color_pts_mean,carpet_pct_mean,color_near_mean,dets_by_label,laser_noise_mean,filt_rej_mean,scan_hz,stale_pct,gated_pct,safer_inserts,map_adds,map_dels,tick_ms_p95,clearance_mean,clearance_min,clearance_max,progression_mean,progression_min,progression_max,reliability_mean,reliability_min,reliability_max,loc_conf_mean,loc_conf_min,loc_conf_max,laser_noise_min,laser_noise_max,spd_max,c0_max,c0_hard_max,perc_n_min,perc_n_max,color_pts_max,carpet_pct_min,carpet_pct_max,bat_start,bat_end,bat_used,bat_min
20260704_122805_ours_B,2026-07-04 12:28:05,ours,B,reached,115.85,7.5,0.83,0,1,9.9,0,1,0,61.3,0.0,7.7,0.0,0.0,0.0,0.07,1.297,0.51,1.299,0.5,0,211.215,244,7.75,204.304,0,0.0,,,,,0.08,0.02,3.25,57.6,18.6,77,506,275,114.8,0.752,0.343,1.0,0.172,0.0,0.267,0.919,0.407,1.0,0.999,0.908,1.0,0.0,0.593,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_123014_ours_B,2026-07-04 12:30:14,ours,B,reached,90.78,7.6,0.82,0,1,3.6,0,1,0,50.8,0.0,9.8,0.0,0.0,0.0,0.065,1.212,0.51,1.223,0.51,0,229.979,274,8.34,218.988,0,0.0,,,,,0.096,0.028,3.3,58.0,22.3,73,523,274,115.0,0.715,0.341,1.0,0.219,0.0,0.425,0.902,0.406,1.0,0.998,0.897,1.0,0.0,0.594,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_123157_ours_B,2026-07-04 12:31:57,ours,B,aborted_meta2_help,237.42,8.3,,3,1,133.3,0,1,0,57.7,0.0,25.0,0.0,2.4,0.0,0.063,0.909,0.21,0.91,0.21,74,183.331,239,6.77,173.106,11,0.0,,,,,0.083,0.033,3.2,61.1,46.1,113,620,498,114.5,0.553,0.14,1.0,0.084,0.0,0.281,0.915,0.382,1.0,0.996,0.928,1.0,0.0,0.618,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_123933_ours_B,2026-07-04 12:39:33,ours,B,reached,100.97,7.77,0.8,0,1,10.2,0,1,0,60.9,0.0,8.6,0.0,0.0,0.0,0.066,1.261,0.51,1.261,0.48,0,213.373,242,7.75,210.499,0,0.0,,,,,0.092,0.026,3.24,58.9,19.8,81,484,253,110.5,0.738,0.34,1.0,0.198,0.0,0.294,0.908,0.417,1.0,0.999,0.92,1.0,0.0,0.583,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_124127_ours_B,2026-07-04 12:41:27,ours,B,reached,113.83,7.57,0.82,0,1,10.5,0,1,0,61.1,0.0,7.8,0.0,0.0,0.0,0.069,1.277,0.49,1.277,0.47,0,208.37,237,7.6,205.217,0,0.0,,,,,0.08,0.02,3.32,57.5,19.0,75,500,274,114.9,0.749,0.329,1.0,0.175,0.0,0.274,0.92,0.403,1.0,0.999,0.919,1.0,0.0,0.597,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_124335_ours_B,2026-07-04 12:43:35,ours,B,reached,114.89,7.67,0.81,0,1,4.4,0,1,0,61.5,0.0,7.7,0.0,0.0,0.0,0.073,1.277,0.53,1.278,0.51,0,199.554,229,7.27,196.56,0,0.0,,,,,0.078,0.02,3.25,57.6,18.9,72,472,252,114.9,0.739,0.351,1.0,0.173,0.0,0.269,0.92,0.41,1.0,0.999,0.917,1.0,0.0,0.59,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_124542_ours_B,2026-07-04 12:45:42,ours,B,reached,111.43,7.55,0.82,0,1,4.3,0,1,0,61.6,0.0,7.9,0.0,0.0,0.0,0.069,1.303,0.51,1.303,0.5,0,207.616,240,7.61,199.513,0,0.0,,,,,0.084,0.023,3.2,58.2,19.3,75,485,258,115.1,0.752,0.343,1.0,0.179,0.0,0.291,0.915,0.426,1.0,0.999,0.932,1.0,0.0,0.574,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_124746_ours_B,2026-07-04 12:47:46,ours,B,reached,101.08,7.76,0.8,0,1,10.2,0,1,0,60.8,0.0,8.6,0.0,0.0,0.0,0.066,1.258,0.51,1.258,0.47,0,216.063,252,7.88,213.511,0,0.0,,,,,0.094,0.03,3.24,58.7,20.4,78,505,253,110.9,0.735,0.338,1.0,0.198,0.0,0.292,0.906,0.412,1.0,0.999,0.911,1.0,0.0,0.588,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_124941_ours_B,2026-07-04 12:49:41,ours,B,reached,100.56,7.72,0.81,0,1,4.5,0,1,0,61.0,0.0,8.7,0.0,0.0,0.0,0.065,1.253,0.5,1.253,0.48,0,216.355,252,7.88,207.942,0,0.0,,,,,0.095,0.025,3.29,58.6,19.9,78,502,257,110.9,0.734,0.335,1.0,0.198,0.0,0.292,0.906,0.422,1.0,0.999,0.913,1.0,0.0,0.578,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125134_ours_B,2026-07-04 12:51:34,ours,B,reached,111.42,7.48,0.83,0,1,4.4,0,1,0,59.8,0.0,7.9,0.0,0.0,0.0,0.066,1.244,0.52,1.25,0.51,0,213.399,241,7.9,207.668,0,0.0,,,,,0.081,0.023,3.21,58.0,18.8,76,512,279,114.5,0.73,0.35,1.0,0.179,0.0,0.289,0.918,0.406,1.0,0.999,0.919,1.0,0.0,0.594,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125339_ours_B,2026-07-04 12:53:39,ours,B,reached,113.07,7.6,0.82,0,1,10.2,0,1,0,60.3,0.0,7.7,0.0,0.0,0.0,0.066,1.274,0.53,1.273,0.51,0,213.837,252,7.89,206.373,0,0.0,,,,,0.08,0.025,3.25,57.7,18.5,81,513,287,114.7,0.746,0.353,1.0,0.176,0.0,0.279,0.918,0.406,1.0,0.998,0.908,1.0,0.0,0.594,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125555_ours_B,2026-07-04 12:55:55,ours,B,reached,112.42,7.68,0.81,0,1,10.0,0,1,0,60.7,0.0,7.8,0.0,0.0,0.0,0.068,1.284,0.52,1.284,0.51,0,208.943,243,7.64,203.512,0,0.0,,,,,0.081,0.026,3.24,58.1,19.2,75,493,261,114.5,0.742,0.349,1.0,0.177,0.0,0.282,0.918,0.409,1.0,0.999,0.915,1.0,0.0,0.591,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125800_ours_B,2026-07-04 12:58:00,ours,B,reached,100.97,7.7,0.81,0,1,4.5,0,1,0,60.7,0.0,8.6,0.0,0.0,0.0,0.066,1.267,0.51,1.266,0.5,0,209.506,248,7.65,206.362,0,0.0,,,,,0.088,0.023,3.34,58.5,20.0,72,465,230,110.8,0.739,0.338,1.0,0.198,0.0,0.293,0.912,0.424,1.0,1.0,0.93,1.0,0.0,0.576,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125954_ours_B,2026-07-04 12:59:54,ours,B,reached,100.95,7.61,0.82,0,1,4.6,0,1,0,60.6,0.0,8.6,0.0,0.0,0.0,0.065,1.262,0.51,1.27,0.49,0,218.95,253,8.08,210.735,0,0.0,,,,,0.087,0.027,3.34,58.6,20.7,80,510,273,111.1,0.736,0.339,1.0,0.198,0.0,0.29,0.912,0.431,1.0,0.999,0.899,1.0,0.0,0.569,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_130149_ours_B,2026-07-04 13:01:49,ours,B,reached,101.23,7.68,0.81,0,1,4.2,0,1,0,61.2,0.0,8.6,0.0,0.0,0.0,0.071,1.259,0.49,1.259,0.48,0,216.776,252,7.87,212.824,0,0.0,,,,,0.095,0.028,3.21,59.0,20.1,78,501,263,110.8,0.735,0.328,1.0,0.197,0.0,0.292,0.906,0.425,1.0,0.999,0.918,1.0,0.0,0.575,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_130344_ours_B,2026-07-04 13:03:44,ours,B,reached,100.99,7.56,0.82,0,1,4.3,0,1,0,60.8,0.0,8.6,0.0,0.0,0.0,0.066,1.26,0.52,1.258,0.49,0,208.778,251,7.63,205.41,0,0.0,,,,,0.092,0.025,3.33,58.6,20.1,72,478,236,110.7,0.734,0.349,1.0,0.198,0.0,0.291,0.908,0.431,1.0,0.999,0.93,1.0,0.0,0.569,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_130539_ours_B,2026-07-04 13:05:39,ours,B,reached,102.16,7.55,0.82,0,1,4.5,0,1,0,61.1,0.0,8.5,0.0,0.0,0.0,0.066,1.272,0.51,1.271,0.49,0,222.024,247,8.16,212.041,0,0.0,,,,,0.087,0.026,3.33,58.4,20.0,80,512,277,111.5,0.737,0.342,1.0,0.195,0.0,0.291,0.913,0.424,1.0,0.999,0.913,1.0,0.0,0.576,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_130734_ours_B,2026-07-04 13:07:34,ours,B,reached,115.55,7.66,0.81,0,1,4.3,0,1,0,61.0,0.0,7.5,0.0,0.0,0.0,0.073,1.267,0.52,1.273,0.5,0,209.436,249,7.64,203.384,0,0.0,,,,,0.079,0.019,3.2,57.8,18.5,72,502,279,114.9,0.733,0.346,1.0,0.172,0.0,0.265,0.921,0.408,1.0,1.0,0.94,1.0,0.0,0.592,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_130943_ours_B,2026-07-04 13:09:43,ours,B,aborted_meta2_help,235.92,7.81,,2,2,126.3,0,1,0,58.2,0.0,25.1,0.0,1.6,0.0,0.065,0.939,0.21,0.95,0.21,326,170.879,241,6.23,162.361,6,0.0,,,,,0.157,0.039,3.34,61.2,48.1,100,581,466,114.3,0.577,0.138,1.0,0.083,0.0,0.271,0.825,0.347,1.0,0.996,0.895,1.0,0.0,0.653,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_131352_ours_B,2026-07-04 13:13:52,ours,B,reached,101.2,7.56,0.82,0,1,4.3,0,1,0,60.8,0.0,8.6,0.0,0.0,0.0,0.068,1.257,0.49,1.264,0.48,0,209.505,235,7.66,203.448,0,0.0,,,,,0.088,0.024,3.27,58.7,20.0,79,487,257,110.8,0.73,0.329,1.0,0.197,0.0,0.291,0.912,0.417,1.0,0.999,0.919,1.0,0.0,0.583,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_131547_ours_B,2026-07-04 13:15:47,ours,B,reached,101.1,7.78,0.8,0,1,10.2,0,1,0,60.6,0.0,8.6,0.0,0.0,0.0,0.069,1.263,0.51,1.27,0.49,0,214.74,253,7.82,207.718,0,0.0,,,,,0.091,0.026,3.28,58.6,20.3,72,482,242,110.8,0.737,0.338,1.0,0.198,0.0,0.291,0.908,0.42,1.0,0.999,0.91,1.0,0.0,0.58,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_131742_ours_B,2026-07-04 13:17:42,ours,B,reached,100.91,7.64,0.82,0,1,4.0,0,1,0,60.9,0.0,8.6,0.0,0.0,0.0,0.067,1.266,0.5,1.268,0.49,0,220.909,257,8.07,215.42,0,0.0,,,,,0.088,0.03,3.33,58.6,20.4,84,517,261,110.7,0.739,0.336,1.0,0.198,0.0,0.294,0.911,0.428,1.0,0.999,0.903,1.0,0.0,0.572,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_131937_ours_B,2026-07-04 13:19:37,ours,B,reached,106.93,7.57,0.82,0,1,4.2,0,1,0,59.0,0.0,7.9,0.0,0.0,0.0,0.068,1.236,0.51,1.243,0.49,0,210.809,236,7.72,205.91,0,0.0,,,,,0.082,0.024,3.25,58.1,18.8,77,489,265,114.1,0.723,0.343,1.0,0.186,0.0,0.283,0.918,0.416,1.0,0.999,0.898,1.0,0.0,0.584,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_132138_ours_B,2026-07-04 13:21:38,ours,B,reached,114.24,7.55,0.83,0,1,4.7,0,1,0,61.0,0.0,7.8,0.0,0.0,0.0,0.067,1.276,0.53,1.276,0.5,0,214.931,251,7.9,207.223,0,0.0,,,,,0.08,0.023,3.21,57.7,18.8,78,502,284,115.0,0.739,0.357,1.0,0.174,0.0,0.269,0.92,0.425,1.0,0.999,0.93,1.0,0.0,0.575,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_132345_ours_B,2026-07-04 13:23:45,ours,B,aborted_meta2_help,236.79,7.82,,2,2,126.9,0,1,0,58.3,0.0,24.8,0.0,1.6,0.0,0.06,0.883,0.22,0.896,0.22,297,178.647,250,6.52,166.922,7,0.0,,,,,0.13,0.04,3.52,60.7,47.6,97,601,478,114.6,0.537,0.147,1.0,0.084,0.0,0.263,0.862,0.328,1.0,0.995,0.882,1.0,0.0,0.672,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_194912_ours_B,2026-07-04 19:49:12,ours,B,reached,92.7,7.63,0.82,0,1,4.0,0,1,0,57.2,0.0,9.4,0.0,0.0,0.0,0.074,1.279,0.5,1.279,0.48,0,212.663,251,7.8,203.177,0,0.0,,,,,0.097,0.024,3.25,59.0,21.7,72,467,236,111.0,0.748,0.335,1.0,0.215,0.0,0.333,0.903,0.433,1.0,0.999,0.911,1.0,0.0,0.567,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_195059_ours_B,2026-07-04 19:50:59,ours,B,reached,93.97,7.68,0.81,0,1,4.2,0,1,0,56.7,0.0,9.2,0.0,0.0,0.0,0.066,1.235,0.52,1.243,0.5,0,226.192,266,8.28,216.746,0,0.0,,,,,0.095,0.03,3.33,58.7,21.5,73,498,249,111.1,0.721,0.346,1.0,0.212,0.0,0.333,0.905,0.421,1.0,0.999,0.909,1.0,0.0,0.579,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_195246_ours_B,2026-07-04 19:52:46,ours,B,reached,97.68,7.48,0.83,0,1,3.5,0,1,0,55.5,0.0,8.8,0.0,0.0,0.0,0.069,1.24,0.52,1.239,0.5,0,222.546,252,8.19,214.126,0,0.0,,,,,0.088,0.024,3.21,58.4,20.4,72,501,268,114.0,0.727,0.345,1.0,0.203,0.0,0.308,0.912,0.406,1.0,0.999,0.93,1.0,0.0,0.594,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_195437_ours_B,2026-07-04 19:54:37,ours,B,reached,105.4,7.55,0.83,0,1,9.8,0,1,0,57.4,0.0,8.3,0.0,0.0,0.0,0.067,1.272,0.52,1.274,0.5,0,219.428,248,8.0,209.39,0,0.0,,,,,0.089,0.022,3.24,57.7,19.7,76,511,282,114.9,0.744,0.346,1.0,0.188,0.0,0.295,0.912,0.398,1.0,0.999,0.918,1.0,0.0,0.602,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260708_102149_ours_B,2026-07-08 10:21:49,ours,B,reached,74.6,11.7,0.54,0,1,9.1,0,1,0,34.2,6.1,4.3,0.0,0.0,0.0,0.068,1.707,0.46,1.886,0.59,0,334.944,415,13.16,313.446,0,2.775,14.33,0.466,14.33,"{""refrigerator"": 8, ""couch"": 9, ""person"": 2, ""chair"": 15}",0.458,0.057,2.14,29.3,16.8,104,802,390,359.4,0.832,0.307,1.0,0.282,0.0,0.823,0.528,0.0,0.993,0.974,0.857,1.0,0.0,1.0,0.15,2.5,2.5,0,20,45,0.066,0.946,83,83,0,83
20260708_102421_ours_A,2026-07-08 10:24:21,ours,A,reached,48.4,9.96,0.61,0,0,0.0,0,0,0,32.9,2.0,0.0,0.0,0.0,0.0,0.062,1.577,0.39,1.9,0.67,0,205.914,387,7.45,186.454,0,2.987,4.887,0.664,4.887,"{""refrigerator"": 8}",0.381,0.059,2.1,32.0,19.6,82,636,249,353.1,0.797,0.26,1.0,0.4,0.0,1.0,0.534,0.0,0.97,0.895,0.783,0.989,0.0,1.0,0.146,2.5,2.5,0,21,22,0.328,0.948,82,82,0,82
20260708_103218_ours_B,2026-07-08 10:32:18,ours,B,reached,99.65,16.09,0.39,2,3,29.2,0,1,0,31.5,7.4,3.2,0.0,7.1,0.0,0.069,1.587,0.12,1.616,0.12,6,332.19,366,11.56,311.804,8,2.842,8.319,0.599,8.319,"{""person"": 3, ""chair"": 35, ""refrigerator"": 18, ""couch"": 6}",0.361,0.054,2.13,30.4,27.6,119,941,575,359.2,0.776,0.083,1.0,0.247,0.0,0.925,0.616,0.0,0.992,0.984,0.848,1.0,0.0,1.0,0.15,2.5,2.5,0,18,47,0.024,0.952,80,79,1,79
20260708_103558_ours_A,2026-07-08 10:35:58,ours,A,reached,124.28,17.25,0.35,0,1,58.9,0,1,0,14.6,1.8,10.2,0.0,0.0,0.0,0.067,1.752,0.5,1.934,0.56,0,213.754,400,7.68,199.685,0,1.598,11.754,0.577,11.754,"{""refrigerator"": 1, ""couch"": 13, ""chair"": 5, ""person"": 4}",0.401,0.071,2.13,31.4,29.1,167,926,526,360.0,0.816,0.334,1.0,0.2,0.0,1.0,0.506,0.0,0.972,0.865,0.737,1.0,0.0,1.0,0.15,2.5,2.5,0,17,48,0.013,0.956,78,77,1,77
20260708_104244_ours_B,2026-07-08 10:42:44,ours,B,reached,106.27,18.25,0.34,0,2,31.2,0,1,0,40.8,12.9,6.0,0.0,0.0,0.0,0.067,1.434,0.53,1.854,0.53,0,321.165,416,9.26,302.778,0,3.198,6.142,0.66,6.142,"{""refrigerator"": 6, ""couch"": 3, ""chair"": 29, ""person"": 1}",0.431,0.053,2.18,30.8,26.0,128,946,530,375.6,0.77,0.351,1.0,0.246,0.0,0.779,0.547,0.0,0.987,0.983,0.854,1.0,0.0,1.0,0.148,2.5,2.5,0,20,23,0.411,0.952,76,75,1,75
20260708_104520_ours_A,2026-07-08 10:45:20,ours,A,aborted,512.61,50.29,,7,1,476.9,0,1,0,0.1,4.5,15.5,0.0,3.6,0.0,0.067,0.846,0.18,0.901,0.18,354,223.699,263,36.35,212.993,8,1.543,15.123,0.448,15.123,"{""chair"": 82, ""couch"": 19, ""refrigerator"": 81, ""person"": 21}",0.218,0.074,2.13,31.1,38.3,591,1968,1731,365.4,0.485,0.12,1.0,0.077,0.0,0.503,0.65,0.0,0.889,0.841,0.733,1.0,0.0,1.0,0.15,2.5,2.5,0,26,48,0.0,0.863,74,69,5,69
20260708_110018_ours_B,2026-07-08 11:00:18,ours,B,aborted_meta2_help,22.99,2.69,,0,1,1.4,0,0,0,82.9,17.1,0.0,0.0,0.0,0.0,0.047,1.955,0.74,2.5,2.5,0,256.543,308,49.63,242.2,0,2.386,1.696,0.815,1.696,"{""person"": 2}",0.38,0.049,2.2,28.2,11.3,5,385,78,382.0,0.866,0.494,1.0,0.195,0.0,0.586,0.59,0.0,0.994,0.989,0.976,1.0,0.0,1.0,0.145,2.5,2.5,0,6,7,0.693,0.955,67,66,1,66
20260708_110554_ours_B,2026-07-08 11:05:54,ours,B,aborted_meta2_help,14.62,1.57,,0,0,0.0,0,0,0,97.8,2.2,0.0,0.0,0.0,0.0,0.052,1.868,0.9,2.031,0.79,0,204.891,261,74.79,194.457,0,2.261,0.0,0.811,0.0,,0.318,0.055,2.22,29.8,23.4,3,306,45,358.6,0.912,0.598,1.0,0.237,0.0,0.743,0.657,0.0,0.989,0.99,0.978,1.0,0.0,1.0,0.15,2.5,2.5,0,5,0,0.629,0.953,64,64,0,64
20260714_163627_ours_B,2026-07-14 16:36:27,ours,B,aborted_meta2_help,15.85,1.92,,0,0,0.0,0,0,0,74.0,26.0,0.0,0.0,0.0,0.0,0.06,1.7,0.75,2.5,2.5,0,230.72,270,57.88,216.24,0,2.14,0.0,0.868,0.0,,0.523,0.061,2.18,31.4,13.7,1,341,76,361.5,0.8,0.501,1.0,0.184,0.0,0.605,0.457,0.0,0.97,0.972,0.944,0.994,0.0,1.0,0.147,2.5,2.5,0,6,0,0.774,0.959,77,77,0,77
20260714_164422_ours_B,2026-07-14 16:44:22,ours,B,aborted_meta2_help,16.77,1.57,,0,0,0.0,0,0,0,90.4,9.6,0.0,0.0,0.0,0.0,0.041,1.689,0.83,1.865,0.91,0,222.538,270,67.41,210.846,0,2.519,0.176,0.764,0.176,,0.531,0.055,2.22,30.2,15.1,0,320,53,361.9,0.815,0.555,1.0,0.194,0.0,0.573,0.44,0.0,0.981,0.979,0.962,0.993,0.0,1.0,0.146,2.5,2.5,0,7,1,0.607,0.952,74,74,0,74
20260714_165448_ours_B,2026-07-14 16:54:48,ours,B,reached,91.53,12.45,0.51,0,1,17.1,0,1,0,25.0,16.4,3.4,0.0,0.0,0.0,0.072,1.557,0.49,1.909,0.44,0,328.726,372,11.42,309.87,0,1.86,4.395,0.668,4.395,"{""refrigerator"": 9, ""couch"": 3, ""person"": 3}",0.355,0.066,2.15,31.7,16.4,105,899,534,357.3,0.795,0.328,1.0,0.239,0.0,0.673,0.621,0.0,0.968,0.955,0.828,1.0,0.0,1.0,0.15,2.5,2.5,0,18,19,0.478,0.958,70,69,1,69
20260714_171700_ours_B,2026-07-14 17:17:00,ours,B,reached,76.9,12.39,0.5,0,1,3.2,0,0,0,31.9,23.1,0.0,0.0,0.0,0.0,0.068,1.398,0.46,1.934,0.46,0,333.466,440,11.81,309.908,0,2.79,3.928,0.7,3.928,"{""refrigerator"": 8, ""person"": 2, ""chair"": 5}",0.314,0.056,2.21,29.7,14.6,87,791,351,361.7,0.743,0.309,1.0,0.272,0.0,0.77,0.661,0.0,0.981,0.973,0.845,1.0,0.0,1.0,0.148,2.5,2.5,0,29,21,0.405,0.955,61,61,0,61
20260714_172658_ours_A,2026-07-14 17:26:58,ours,A,reached,87.73,13.46,0.45,0,2,13.9,0,1,0,38.2,1.1,6.9,0.0,0.0,0.0,0.071,1.648,0.5,1.747,0.5,0,240.295,429,8.43,219.215,0,2.276,8.493,0.659,8.493,"{""chair"": 9, ""refrigerator"": 1, ""couch"": 3, ""person"": 1}",0.307,0.059,2.14,31.2,30.8,92,760,334,354.5,0.815,0.333,1.0,0.244,0.0,0.758,0.62,0.0,0.977,0.906,0.813,0.994,0.0,1.0,0.149,2.5,2.5,0,17,29,0.286,0.958,58,57,1,57
20260714_173417_ours_B,2026-07-14 17:34:17,ours,B,reached,101.91,14.23,0.44,0,2,27.1,0,1,0,24.0,16.6,6.5,0.0,0.0,0.0,0.069,1.665,0.63,2.012,0.63,0,318.354,367,11.22,303.062,0,1.917,4.753,0.667,4.753,"{""refrigerator"": 8, ""couch"": 4}",0.384,0.056,2.17,32.5,20.6,115,883,545,350.7,0.82,0.419,1.0,0.222,0.0,0.632,0.597,0.0,0.993,0.978,0.87,1.0,0.0,1.0,0.149,2.5,2.5,0,17,22,0.439,0.947,55,54,1,54
20260714_174051_ours_A,2026-07-14 17:40:51,ours,A,aborted,38.44,7.95,,1,1,3.1,0,1,2,0.0,0.0,8.3,0.0,9.1,0.0,0.068,1.032,0.3,1.212,0.3,3,158.711,194,15.48,146.008,3,2.835,16.05,0.399,16.05,"{""chair"": 12, ""refrigerator"": 3, ""couch"": 3}",0.196,0.058,2.19,31.4,33.1,63,344,150,372.1,0.626,0.2,1.0,0.116,0.0,0.486,0.687,0.0,0.886,0.872,0.801,1.0,0.0,1.0,0.146,2.5,2.5,0,18,45,0.025,0.755,52,52,0,52
20260721_100042_ours_B,2026-07-21 10:00:42,ours,B,reached,95.52,7.54,0.83,0,1,8.7,0,1,0,54.8,0.0,8.9,0.0,0.0,0.0,0.069,1.203,0.4,1.203,0.4,0,226.775,270,8.35,220.073,0,0.0,,,,,0.09,0.022,3.28,58.8,21.5,43,435,183,110.4,0.699,0.268,1.0,0.208,0.0,0.327,0.91,0.418,1.0,1.0,0.966,1.0,0.0,0.582,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260721_100231_ours_B,2026-07-21 10:02:31,ours,B,reached,94.79,7.7,0.81,0,1,9.4,0,1,0,55.2,0.0,9.2,0.0,0.0,0.0,0.069,1.23,0.41,1.23,0.41,0,230.35,272,8.45,221.95,0,0.0,,,,,0.091,0.023,3.29,58.9,21.8,42,443,191,109.8,0.719,0.272,1.0,0.21,0.0,0.328,0.909,0.427,1.0,1.0,0.943,1.0,0.0,0.573,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260721_100417_ours_B,2026-07-21 10:04:17,ours,B,aborted_meta2_help,215.97,7.77,,9,1,134.1,0,1,0,17.2,33.1,19.3,0.0,7.5,6.8,0.065,0.667,0.22,0.668,0.22,908,200.76,248,9.89,193.244,11,0.0,,,,,0.081,0.037,3.61,61.2,40.8,37,508,336,109.2,0.399,0.145,1.0,0.087,0.0,0.314,0.912,0.0,1.0,0.998,0.906,1.0,0.0,1.0,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260721_101118_ours_B,2026-07-21 10:11:18,ours,B,reached,94.08,7.63,0.82,0,1,3.6,0,1,0,56.0,0.0,9.1,0.0,0.0,0.0,0.071,1.239,0.4,1.24,0.4,0,229.972,270,8.41,221.998,0,0.0,,,,,0.094,0.023,3.29,59.0,22.3,44,456,206,110.0,0.722,0.269,1.0,0.211,0.0,0.324,0.906,0.426,1.0,1.0,0.953,1.0,0.0,0.574,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260721_101305_ours_B,2026-07-21 10:13:05,ours,B,reached,94.45,7.59,0.82,0,1,9.3,0,1,0,55.6,0.0,9.2,0.0,0.0,0.0,0.068,1.264,0.41,1.264,0.41,0,223.743,262,8.21,213.334,0,0.0,,,,,0.093,0.023,3.2,59.2,22.1,44,424,179,110.0,0.739,0.271,1.0,0.211,0.0,0.334,0.909,0.269,1.0,1.0,0.943,1.0,0.0,0.731,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260721_101452_ours_B,2026-07-21 10:14:52,ours,B,reached,95.24,7.57,0.82,0,1,3.9,0,1,0,56.0,0.0,9.0,0.0,0.0,0.0,0.064,1.212,0.39,1.216,0.39,0,224.102,267,8.19,217.489,0,0.0,,,,,0.09,0.023,3.2,59.1,21.5,44,431,175,109.8,0.706,0.258,1.0,0.209,0.0,0.324,0.91,0.411,1.0,1.0,0.966,1.0,0.0,0.589,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260721_101640_ours_B,2026-07-21 10:16:40,ours,B,reached,94.94,7.63,0.82,0,1,9.7,0,1,0,56.4,0.0,9.2,0.0,0.0,0.0,0.068,1.215,0.39,1.221,0.39,0,228.441,269,8.38,218.344,0,0.0,,,,,0.09,0.025,3.3,58.8,22.5,41,436,190,110.9,0.709,0.26,1.0,0.21,0.0,0.324,0.91,0.421,1.0,1.0,0.964,1.0,0.0,0.579,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260721_143343_ours_B,2026-07-21 14:33:43,ours,B,reached,75.79,12.01,0.52,0,2,4.5,0,0,0,46.8,0.5,3.6,0.0,0.0,0.0,0.065,1.317,0.48,1.438,0.48,0,346.752,468,12.6,322.167,0,15.874,7.38,0.673,4.425,"{""refrigerator"": 25, ""couch"": 19, ""chair"": 28, ""person"": 2}",0.255,0.051,2.14,26.0,22.4,63,1000,565,395.9,0.762,0.319,1.0,0.285,0.0,0.734,0.717,0.0,0.978,0.958,0.835,1.0,0.0,1.0,0.149,2.5,2.5,0,41,26,0.459,1.0,74,73,1,73
